pressure,I,II,III,IV,V,VI,unk1
0.0,135.28267255922404,142.22570990147787,152.19298102386222,162.27680605655235,213.73661713008048,236.8730082843342,
1.6,137.39136707457976,144.51051738830466,154.59135988511636,163.9988629441189,217.6507292404957,241.12496059505742,
4.0,136.43175079450705,145.12985115126207,155.44019443749434,164.67177660586248,220.0966003872353,244.23080229369344,
7.25,138.9063291823072,147.42731116776238,159.42837151755566,167.28230631710804,225.6897663874879,250.1539185155271,265.45626720601194
10.0,139.22442755690312,149.3972071515545,162.15929046064863,169.31628951752367,229.74971438379134,253.64809731774733,263.7050798855811
11.3,139.4181992402517,149.91299351155786,163.49238887697462,170.10600511300018,232.81237061444972,255.39494575699388,267.4603792464956
