x,data,total_fit,lin1,lor1,lor2,lor3
4.228456913827655,1.0484287461968331,1.0278136703467582,-2.7638518014422915,3.2117078339496383,0.16499179247943005,0.41496584535998093
4.248496993987976,1.0240395449619633,1.0153639342295477,-2.7472220262471616,3.159613524109101,0.16851603789685654,0.43445639847075207
4.268537074148297,0.9986107064398215,0.9981738691975104,-2.7305922510520317,3.101344854940267,0.17215136852247848,0.4552698967867961
4.288577154308617,0.9723953266685843,0.9771277130675147,-2.7139624758569023,3.0376679976158414,0.1759023631205544,0.4775198281880214
4.3086172344689375,0.945674599672097,0.9531416029294109,-2.6973327006617724,2.9693696261970826,0.17977383072531594,0.5013308466687847
4.328657314629258,0.9187619014988524,0.927144173889848,-2.6807029254666426,2.897236385414815,0.18377082410252427,0.5268398898391512
4.348697394789579,0.8920075493851078,0.9000597314743977,-2.6640731502715123,2.8220368505983355,0.18789865408912612,0.5541973770584485
4.368737474949899,0.8658040567171379,0.8727944707344872,-2.6474433750763833,2.744506462296828,0.19216290487214696,0.5835684786418955
4.38877755511022,0.8405915842486837,0.8462259444440385,-2.6308135998812534,2.665335655611395,0.19656945027220796,0.6151344384416884
4.408817635270541,0.8168631500983121,0.8211957432806454,-2.614183824686123,2.585161176301081,0.20112447110154216,0.649093920564145
4.428857715430862,0.7951690128847917,0.798505154645337,-2.5975540494909932,2.5045603956126414,0.20583447367112898,0.68566433485256
4.448897795591182,0.7761194954847461,0.7789134170601444,-2.5809242742958642,2.4240483083431346,0.21070630952654779,0.7250830734863258
4.468937875751503,0.7603853869715962,0.7631380799591647,-2.564294499100734,2.3440768219408086,0.21574719649737548,0.7676085606217145
4.488977955911824,0.7486949666363487,0.751856905084682,-2.547664723905604,2.2650359119331815,0.22096474115039544,0.8135209759067089
4.509018036072144,0.7418266584398976,0.7457106934793654,-2.531034948710475,2.187256221603902,0.22636696274253806,0.8631224578434001
4.529058116232465,0.7405963692851814,0.745306377822168,-2.5144051735153448,2.1110127118806012,0.23196231877528375,0.9167365206816278
4.5490981963927855,0.7458387106509221,0.7512196703412632,-2.497775398320215,2.0365290116834225,0.2377597322581973,0.9747063247198585
4.569138276553106,0.7583815658000082,0.7639964898384499,-2.481145623125085,1.9639821717162789,0.24376862079527364,1.0373913204519822
4.589178356713426,0.7790138507994242,0.7841522980817675,-2.4645158479299556,1.8935075797631151,0.24999892761375236,1.1051616386348555
4.609218436873747,0.8084468219209588,0.8121683506874389,-2.4478860727348257,1.8252038486118698,0.25646115466092834,1.1783894201494667
4.629258517034068,0.8472698850570124,0.8484837119871145,-2.431256297539696,1.7591375359570511,0.2631663979000916,1.2574360756696676
4.649298597194389,0.8959025290442888,0.8934817093724088,-2.414626522344566,1.6953475974896228,0.27012638494191954,1.3426342492854324
4.669338677354709,0.9545446830518824,0.94746933938253,-2.3979967471494366,1.6338495092994487,0.27735351515218143,1.4342630620803365
4.68937875751503,1.0231284240783858,1.0106480405037535,-2.3813669719543067,1.5746390237952779,0.2848609023802577,1.5325150862825248
4.709418837675351,1.1012744612962193,1.0830743087247807,-2.364737196759177,1.5176955451246916,0.2926624204553536,1.637453539903912
4.729458917835671,1.18825712512564,1.164608992689339,-2.3481074215640474,1.4629851263206222,0.30077275159803313,1.7489585363347309
4.749498997995992,1.2829816231586515,1.2548549625903926,-2.3314776463689175,1.4104631019753038,0.3092074378932385,1.8666620690907678
4.7695390781563125,1.3839770413267332,1.353084443500884,-2.3148478711737877,1.3600763780068634,0.31798293596671123,1.9898730007010972
4.789579158316633,1.4894079411740764,1.4581598847274049,-2.298218095978658,1.3117654048361345,0.3271166749989063,2.1174959008710217
4.809619238476953,1.597106439360846,1.568455947767882,-2.2815883207835284,1.2654658627356863,0.3366271181981104,2.2479512876176138
4.829659318637274,1.7046253968841905,1.6817949029285035,-2.2649585455883985,1.22111008884586,0.3465338278364374,2.3791095318346045
4.849699398797595,1.809311873224753,1.795412764460445,-2.248328770393268,1.1786282748642076,0.3568575339272097,2.5082557260622957
4.869739478957916,1.9083984275402888,1.905977424467376,-2.2316989951981387,1.1379494630958191,0.36762020658829764,2.632106749981398
4.889779559118236,1.999108311541331,2.0096805878625634,-2.2150692200030093,1.0990023667067652,0.3788451320911445,2.746902309067663
4.909819639278557,2.0787692437834417,2.102419757803365,-2.198439444807879,1.0617160378808272,0.39055699253701076,2.848586172193406
4.929859719438878,2.144929424702006,2.180072858790747,-2.1818096696127496,1.0260204053100452,0.4027819490273581,2.933080174066093
4.949899799599198,2.195468866127745,2.2388467134206342,-2.16517989441762,0.9918467001724343,0.41554772810070156,2.9966321795651187
4.969939879759519,2.2286990517920837,2.275655870212457,-2.14855011922249,0.9591277875477623,0.42888371108925843,3.036194490797926
4.98997995991984,2.2434444513994416,2.2884685170857786,-2.1319203440273604,0.9277984181473135,0.4428210259001858,3.0497694170656398
5.01002004008016,2.2391004599189555,2.2765509295531547,-2.11529056883223,0.897795413317149,0.4573926405419131,3.0366534445263227
5.03006012024048,2.215663850035166,2.240556911820554,-2.0986607936371007,0.8690577945318665,0.47263345748863583,2.997526453437152
5.050100200400801,2.173733684286152,2.182441727298489,-2.0820310184419712,0.8415268670309755,0.4885804076968278,2.9343654710126565
5.070140280561122,2.1144826727564054,2.105220362207878,-2.065401243246841,0.8151462658591478,0.5052725427462996,2.8502027968492714
5.090180360721443,2.0396010011784256,2.012623241693709,-2.0487714680517106,0.7898619713458945,0.5227511231630048,2.748781615236521
